Flight Date,Carrier,Flight Number,Origin,Origin City,Origin State,Origin WAC,Destination,Destination City,Destination State,Destination WAC,CRS_DEP_TIME,Departure Time,CRS_ARR_TIME,Arrival Time,Cancelled,Diverted,Distance
1/1/2022 12:00:00 AM,DL,2136,SFO,"San Francisco, CA",CA,91,DTW,"Detroit, MI",MI,43,0700,0656,1432,1409,0.00,0.00,2079.00
1/1/2022 12:00:00 AM,DL,2137,RDU,"Raleigh/Durham, NC",NC,36,ATL,"Atlanta, GA",GA,34,0720,0727,0903,0841,0.00,0.00,356.00
1/1/2022 12:00:00 AM,DL,2139,MCO,"Orlando, FL",FL,33,DTW,"Detroit, MI",MI,43,0820,0816,1056,1050,0.00,0.00,957.00
1/1/2022 12:00:00 AM,DL,2141,LGA,"New York, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1535,1534,1850,1823,0.00,0.00,1035.00
1/1/2022 12:00:00 AM,DL,2143,PSP,"Palm Springs, CA",CA,91,MSP,"Minneapolis, MN",MN,63,1335,1334,1859,1859,0.00,0.00,1454.00
1/1/2022 12:00:00 AM,DL,2144,MCO,"Orlando, FL",FL,33,MSP,"Minneapolis, MN",MN,63,1629,1837,1904,2054,0.00,0.00,1310.00
1/1/2022 12:00:00 AM,DL,2145,ATL,"Atlanta, GA",GA,34,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1940,1943,2125,2120,0.00,0.00,545.00
1/1/2022 12:00:00 AM,DL,2148,LAS,"Las Vegas, NV",NV,85,SEA,"Seattle, WA",WA,93,0730,0737,1016,1012,0.00,0.00,867.00
1/1/2022 12:00:00 AM,DL,2150,ATL,"Atlanta, GA",GA,34,TPA,"Tampa, FL",FL,33,1103,1101,1228,1246,0.00,0.00,406.00
1/1/2022 12:00:00 AM,DL,2150,TPA,"Tampa, FL",FL,33,ATL,"Atlanta, GA",GA,34,1340,1346,1516,1517,0.00,0.00,406.00
1/1/2022 12:00:00 AM,DL,2151,ATL,"Atlanta, GA",GA,34,GRR,"Grand Rapids, MI",MI,43,0906,0930,1056,1106,0.00,0.00,640.00
1/1/2022 12:00:00 AM,DL,2151,GRR,"Grand Rapids, MI",MI,43,ATL,"Atlanta, GA",GA,34,1159,1155,1359,1413,0.00,0.00,640.00
1/1/2022 12:00:00 AM,DL,2152,SEA,"Seattle, WA",WA,93,PDX,"Portland, OR",OR,92,1531,1544,1637,1632,0.00,0.00,129.00
1/1/2022 12:00:00 AM,DL,2153,SLC,"Salt Lake City, UT",UT,87,SAT,"San Antonio, TX",TX,74,1718,1720,2059,2047,0.00,0.00,1087.00
1/1/2022 12:00:00 AM,DL,2157,MSP,"Minneapolis, MN",MN,63,MCO,"Orlando, FL",FL,33,1301,1353,1713,1804,0.00,0.00,1310.00
1/1/2022 12:00:00 AM,DL,2158,ATL,"Atlanta, GA",GA,34,PBI,"West Palm Beach/Palm Beach, FL",FL,33,2240,2243,0027,0016,0.00,0.00,545.00
1/1/2022 12:00:00 AM,DL,2159,ORD,"Chicago, IL",IL,41,DTW,"Detroit, MI",MI,43,0525,0523,0753,0731,0.00,0.00,235.00
1/1/2022 12:00:00 AM,DL,2160,ATL,"Atlanta, GA",GA,34,GRR,"Grand Rapids, MI",MI,43,2105,2101,2254,2257,0.00,0.00,640.00
1/1/2022 12:00:00 AM,DL,2161,PIT,"Pittsburgh, PA",PA,23,ATL,"Atlanta, GA",GA,34,0600,0600,0758,0740,0.00,0.00,526.00
1/1/2022 12:00:00 AM,DL,2162,FLL,"Fort Lauderdale, FL",FL,33,MSP,"Minneapolis, MN",MN,63,1356,1417,1650,1703,0.00,0.00,1487.00
1/1/2022 12:00:00 AM,DL,2162,MSP,"Minneapolis, MN",MN,63,FLL,"Fort Lauderdale, FL",FL,33,0750,0746,1245,1215,0.00,0.00,1487.00
1/1/2022 12:00:00 AM,DL,2163,ATL,"Atlanta, GA",GA,34,PNS,"Pensacola, FL",FL,33,1413,1406,1422,1416,0.00,0.00,271.00
